commodity,date,qty
Default,2/21/2016,0
BreadCrumb,2/21/2016,0
BreadCrumb,2/22/2016,0
Candy,2/22/2016,0
Default,2/22/2016,0
Dip,2/22/2016,0
Supplement,2/22/2016,0
Nut,2/22/2016,2084.256
Powder,2/22/2016,0
Tobacco,2/22/2016,149.616
Not Available,2/22/2016,0
Instant,2/22/2016,0
Dip,2/23/2016,0
Tobacco,2/23/2016,0
Supplement,2/23/2016,0
Powder,2/23/2016,0
Nut,2/23/2016,501.696
Not Available,2/23/2016,0
Instant,2/23/2016,0
Default,2/23/2016,0
Candy,2/23/2016,0
BreadCrumb,2/23/2016,0
Nut,2/24/2016,686.25
Candy,2/24/2016,0
Instant,2/24/2016,0
Dip,2/24/2016,0
Default,2/24/2016,0
Not Available,2/24/2016,0
Tobacco,2/24/2016,0
Supplement,2/24/2016,175
BreadCrumb,2/24/2016,0
Powder,2/24/2016,0
Default,2/25/2016,0
Tobacco,2/25/2016,0
Supplement,2/25/2016,0
Powder,2/25/2016,0
Nut,2/25/2016,744.98
Not Available,2/25/2016,0
Instant,2/25/2016,0
Dip,2/25/2016,0
Candy,2/25/2016,0
BreadCrumb,2/25/2016,0
Tobacco,2/26/2016,0
Supplement,2/26/2016,36.288
Powder,2/26/2016,0
Default,2/26/2016,0
Not Available,2/26/2016,0
Dip,2/26/2016,0
BreadCrumb,2/26/2016,0
Candy,2/26/2016,0
Nut,2/26/2016,2155.212
Instant,2/26/2016,0
Instant,2/27/2016,0
Powder,2/27/2016,0
BreadCrumb,2/27/2016,0
Candy,2/27/2016,0
Default,2/27/2016,0
Dip,2/27/2016,0
Not Available,2/27/2016,0
Nut,2/27/2016,0
Supplement,2/27/2016,0
Tobacco,2/27/2016,0
Tobacco,2/28/2016,0
Supplement,2/28/2016,0
Candy,2/28/2016,0
Default,2/28/2016,0
Dip,2/28/2016,0
Instant,2/28/2016,0
Not Available,2/28/2016,0
Nut,2/28/2016,0
Powder,2/28/2016,0
BreadCrumb,2/28/2016,0
Nut,2/29/2016,671.276
Tobacco,2/29/2016,0
Supplement,2/29/2016,0
Powder,2/29/2016,0
Not Available,2/29/2016,0
BreadCrumb,2/29/2016,0
Dip,2/29/2016,0
Default,2/29/2016,0
Candy,2/29/2016,0
Instant,2/29/2016,0
Tobacco,3/1/2016,0
BreadCrumb,3/1/2016,0
Candy,3/1/2016,0
Default,3/1/2016,0
Dip,3/1/2016,0
Instant,3/1/2016,0
Not Available,3/1/2016,0
Nut,3/1/2016,704.032
Powder,3/1/2016,0
Supplement,3/1/2016,55.728
Candy,3/2/2016,0
BreadCrumb,3/2/2016,0
Default,3/2/2016,0
Dip,3/2/2016,0
Instant,3/2/2016,0
Not Available,3/2/2016,0
Nut,3/2/2016,982.892
Powder,3/2/2016,0
Supplement,3/2/2016,55.728
Tobacco,3/2/2016,0
Supplement,3/3/2016,0
Tobacco,3/3/2016,0
Powder,3/3/2016,0
Nut,3/3/2016,272.376
Not Available,3/3/2016,0
Default,3/3/2016,0
Dip,3/3/2016,0
Candy,3/3/2016,0
BreadCrumb,3/3/2016,0
Instant,3/3/2016,0
Nut,3/4/2016,2720.78
Tobacco,3/4/2016,0
Supplement,3/4/2016,0
Powder,3/4/2016,0
Instant,3/4/2016,0
Not Available,3/4/2016,0
Default,3/4/2016,0
Candy,3/4/2016,60
BreadCrumb,3/4/2016,0
Dip,3/4/2016,0
Dip,3/5/2016,0
Supplement,3/5/2016,0
Instant,3/5/2016,0
Not Available,3/5/2016,0
Nut,3/5/2016,0
Powder,3/5/2016,0
Tobacco,3/5/2016,0
Candy,3/5/2016,0
BreadCrumb,3/5/2016,0
Default,3/5/2016,0
Default,3/6/2016,0
Candy,3/6/2016,0
BreadCrumb,3/6/2016,0
Instant,3/6/2016,0
Not Available,3/6/2016,0
Powder,3/6/2016,0
Supplement,3/6/2016,0
Tobacco,3/6/2016,0
Dip,3/6/2016,0
Nut,3/6/2016,0
Tobacco,3/7/2016,0
Not Available,3/7/2016,0
BreadCrumb,3/7/2016,166.32
Candy,3/7/2016,0
Default,3/7/2016,0
Dip,3/7/2016,0
Instant,3/7/2016,0
Nut,3/7/2016,1105.68
Powder,3/7/2016,0
Supplement,3/7/2016,0
Tobacco,3/8/2016,0
Supplement,3/8/2016,0
BreadCrumb,3/8/2016,0
Powder,3/8/2016,0
Not Available,3/8/2016,0
Instant,3/8/2016,0
Nut,3/8/2016,626.152
Default,3/8/2016,0
