Model,test_mse,test_rmse,Type,epochs,key,look_back,ip_units,stacked_units,batch_size
mlp_model,0.007668404,0.087569423,Dip,100,mlp_model_epochs_100_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10,12,0,4
mlp_model,0.007800207,0.088318781,Dip,100,mlp_model_epochs_100_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30,12,0,4
mlp_model,0.007800207,0.088318781,Dip,100,mlp_model_epochs_100_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30,12,0,4
lstm_model,0.008077182,0.089873143,Dip,100,lstm_model_epochs_100_look_back_10_batch_size_4_stacked_units_[4]_op_units_1,10,0,4,4
mlp_model,1.772047042,1.331182573,Instant,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,1.772047042,1.331182573,Instant,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
lstm_model,1.772165527,1.331227076,Instant,50,lstm_model_epochs_50_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
timestep_lstm_model,1.772175977,1.331231001,Instant,100,timestep_lstm_model_epochs_100_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
mlp_model,1.772186613,1.331234995,Instant,100,mlp_model_epochs_100_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,1.772186613,1.331234995,Instant,100,mlp_model_epochs_100_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
lstm_model,1.77219755,1.331239103,Instant,300,lstm_model_epochs_300_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
timestep_lstm_model,1.772198916,1.331239616,Instant,300,timestep_lstm_model_epochs_300_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
lstm_model,1.77219903,1.331239659,Instant,600,lstm_model_epochs_600_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
timestep_lstm_model,1.772199087,1.33123968,Instant,600,timestep_lstm_model_epochs_600_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
timestep_lstm_model,0.339553121,0.582711868,Powder,100,timestep_lstm_model_epochs_100_look_back_50_batch_size_4_stacked_units_[4]_op_units_1,50,0,4,4
timestep_lstm_model,0.369579117,0.607930191,Powder,600,timestep_lstm_model_epochs_600_look_back_50_batch_size_4_stacked_units_[4]_op_units_1,50,0,4,4
mlp_model,0.480009611,0.692827259,Powder,25,mlp_model_epochs_25_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50,12,0,4
mlp_model,0.480009611,0.692827259,Powder,25,mlp_model_epochs_25_look_back_50_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,50,12,0,4
lstm_model,0.572272974,0.75648726,Powder,50,lstm_model_epochs_50_look_back_50_batch_size_4_stacked_units_[4]_op_units_1,50,0,4,4
timestep_lstm_model,0.679968416,0.824601974,Powder,300,timestep_lstm_model_epochs_300_look_back_50_batch_size_4_stacked_units_[4]_op_units_1,50,0,4,4
lstm_model,0.799227063,0.893995002,Powder,50,lstm_model_epochs_50_look_back_40_batch_size_4_stacked_units_[4]_op_units_1,40,0,4,4
timestep_lstm_model,0.803116417,0.896167628,Powder,100,timestep_lstm_model_epochs_100_look_back_30_batch_size_4_stacked_units_[4]_op_units_1,30,0,4,4
timestep_lstm_model,0.804404675,0.896886099,Powder,300,timestep_lstm_model_epochs_300_look_back_30_batch_size_4_stacked_units_[4]_op_units_1,30,0,4,4
lstm_model,0.856759945,0.925613281,Powder,50,lstm_model_epochs_50_look_back_30_batch_size_4_stacked_units_[4]_op_units_1,30,0,4,4
mlp_model,0.75158161,0.866938066,Tobacco,25,mlp_model_epochs_25_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,0.75158161,0.866938066,Tobacco,25,mlp_model_epochs_25_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
lstm_model,0.7516183,0.866959226,Tobacco,50,lstm_model_epochs_50_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
timestep_lstm_model,0.751622918,0.86696189,Tobacco,100,timestep_lstm_model_epochs_100_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
lstm_model,0.751626321,0.866963852,Tobacco,100,lstm_model_epochs_100_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
lstm_model,0.75163663,0.866969798,Tobacco,200,lstm_model_epochs_200_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
mlp_model,0.751638039,0.86697061,Tobacco,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,0.751638039,0.86697061,Tobacco,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
timestep_lstm_model,0.751640336,0.866971935,Tobacco,300,timestep_lstm_model_epochs_300_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
lstm_model,0.751647097,0.866975834,Tobacco,300,lstm_model_epochs_300_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
